İlan no,Son Güncelleme Tarihi,Konut Tipi,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Krediye Uygunluk,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Tapu Durumu,Aidat,Takas,Cephe,Kira Getirisi,Yakıt Tipi,Ada No,Parsel No,Yetkili Ofis,city,district,price
4180-9297,30-10-2024,Daire,1 + 1,70 m2 / 60 m2,Kot 1,Sıfır Bina,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,,Boş,Kat Mülkiyeti,100 TL,Evet,"Güney, Batı",16.000 TL,Doğalgaz,101,58,Evet,Ankara,Çankaya,2.450.000 TL
150186-17,15-10-2024,Daire,3 + 1,115 m2 / 105 m2,6. Kat,30 Yaşında,Merkezi,7 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,Kat Mülkiyeti,1.500 TL,Hayır,"Güney, Doğu",18.000 TL,Doğalgaz,17328,1,Evet,Ankara,Etimesgut,2.875.000 TL
150186-28,28-10-2024,Daire,3 + 1,115 m2 / 110 m2,4. Kat,25 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,,İkinci El,Kiracılı,Kat Mülkiyeti,150 TL,Evet,"Güney, Batı",20.000 TL,Doğalgaz,2183,1,,Ankara,Sincan,2.250.000 TL
6632-1623,30-10-2024,Daire,3 + 1,110 m2 / 100 m2,8. Kat,37 Yaşında,Merkezi,8 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,1.875 TL,Hayır,"Kuzey, Batı",30.000 TL,Doğalgaz,17,7037,Evet,Ankara,Çankaya,6.650.000 TL
35755-413,30-10-2024,Daire,3 + 1,90 m2 / 80 m2,3. Kat,32 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,,,,Kat Mülkiyeti,,,,,Doğalgaz,,,,Ankara,Keçiören,1.975.000 TL
4480-24736,30-10-2024,Daire,3 + 1,125 m2 / 120 m2,Yüksek Giriş,7 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,,Hayır,,,Doğalgaz,,,,Ankara,Pursaklar,2.595.000 TL
31522-14666,30-10-2024,Daire,3 + 1,115 m2 / 110 m2,Bahçe Katı,30 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,100 TL,Evet,"Güney, Batı",16.000 TL,Doğalgaz,,,Evet,Ankara,Keçiören,2.150.000 TL
36851-29234,30-10-2024,Daire,2 + 1,115 m2 / 110 m2,1. Kat,25 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,250 TL,Hayır,"Güney, Doğu",28.000 TL,Doğalgaz,,,Evet,Ankara,Çankaya,4.650.000 TL
36851-29287,30-10-2024,Daire,2 + 1,65 m2 / 60 m2,Kot 1,Sıfır Bina,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,100 TL,Hayır,"Güney, Doğu",17.500 TL,Doğalgaz,,,Evet,Ankara,Çankaya,2.795.000 TL
4036-2114,28-10-2024,Daire,3 + 1,140 m2 / 133 m2,Kot 1,16 Yaşında,Kombi,4 Katlı,Uygun,,2,Betonarme,İkinci El,Boş,,,Hayır,"Kuzey, Doğu",,Doğalgaz,,,Evet,Ankara,Çankaya,3.990.000 TL
4537-10531,30-10-2024,Daire,4 + 1,175 m2 / 150 m2,Bahçe Katı,18 Yaşında,Merkezi (Pay Ölçer),12 Katlı,Uygun,Eşyalı Değil,3,Betonarme,İkinci El,Mülk Sahibi,Kat İrtifakı,3.500 TL,Hayır,Doğu,,Doğalgaz,,,Evet,Ankara,Çankaya,14.395.000 TL
147632-7,30-10-2024,Villa,5 + 2,370 m2 / 300 m2,,14 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,3,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,,Evet,"Kuzey, Güney, Doğu, Batı",45.000 TL,Doğalgaz,,,Evet,Ankara,Gölbaşı,11.535.000 TL
86972-2326,30-10-2024,Daire,4 + 1,195 m2 / 180 m2,Giriş Katı,7 Yaşında,Kombi,7 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,1.000 TL,Evet,"Kuzey, Güney, Batı",35.000 TL,Doğalgaz,,,Evet,Ankara,Etimesgut,6.970.000 TL
28888-1566,30-10-2024,Daire,3 + 1,118 m2 / 105 m2,5. Kat,9 Yaşında,Merkezi (Pay Ölçer),11 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Kiracılı,Kat Mülkiyeti,,,Doğu,,Doğalgaz,,,Evet,Ankara,Etimesgut,2.650.000 TL
28888-1534,30-10-2024,Daire,2 + 1,95 m2 / 83 m2,2. Kat,Sıfır Bina,Merkezi (Pay Ölçer),9 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Evet,"Güney, Doğu",18.000 TL,Doğalgaz,,,Evet,Ankara,Etimesgut,3.700.000 TL
28888-1440,30-10-2024,Daire,4 + 1,190 m2 / 165 m2,4. Kat,15 Yaşında,Kombi,5 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Kiracılı,Kat Mülkiyeti,1.100 TL,,"Güney, Batı",30.000 TL,Doğalgaz,,,Evet,Ankara,Etimesgut,6.600.000 TL
28888-1568,30-10-2024,Daire,2 + 1,105 m2 / 87 m2,2. Kat,Sıfır Bina,Yerden Isıtma,13 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,,"Kuzey, Güney, Doğu, Batı",,Doğalgaz,,,Evet,Ankara,Etimesgut,3.500.000 TL
28888-1520,30-10-2024,Daire,4 + 1,190 m2 / 175 m2,1. Kat,10 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Kiracılı,Kat Mülkiyeti,,Evet,"Kuzey, Doğu",35.000 TL,Doğalgaz,,,,Ankara,Etimesgut,6.150.000 TL
28888-1550,30-10-2024,Daire,4 + 1,190 m2 / 146 m2,13. Kat,Sıfır Bina,Merkezi (Pay Ölçer),14 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Evet,"Kuzey, Güney, Doğu, Batı",,Doğalgaz,,,Evet,Ankara,Etimesgut,8.950.000 TL
28888-1523,30-10-2024,Daire,4 + 1,185 m2 / 165 m2,6. Kat,1 Yaşında,Merkezi (Pay Ölçer),9 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,,"Kuzey, Güney, Doğu, Batı",45.000 TL,Doğalgaz,,,Evet,Ankara,Etimesgut,8.950.000 TL
28888-1393,30-10-2024,Daire,4 + 1,180 m2 / 165 m2,3. Kat,Sıfır Bina,Kombi,8 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,,"Kuzey, Güney, Doğu, Batı",30.000 TL,Doğalgaz,,,Evet,Ankara,Etimesgut,9.500.000 TL
28888-1570,30-10-2024,Daire,4 + 1,160 m2 / 149 m2,1. Kat,Sıfır Bina,Merkezi (Pay Ölçer),15 Katlı,Uygun,Eşyalı Değil,3,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Evet,"Kuzey, Güney, Doğu, Batı",,Elektrik,,,Evet,Ankara,Etimesgut,8.275.000 TL
7000-4431,24-10-2024,Müstakil Ev,4 + 1,160 m2 / 150 m2,,30 Yaşında,Kombi,2 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,,Hayır,,,Doğalgaz,15498,1,Evet,Ankara,Yenimahalle,6.500.000 TL
140115-6,24-10-2024,Daire,3 + 1,148 m2 / 138 m2,3. Kat,1 Yaşında,Kombi,7 Katlı,Uygun,Eşyalı,2,Betonarme,Sıfır,Boş,Kat İrtifakı,,Evet,"Güney, Doğu",3.500 TL,Doğalgaz,,,Evet,Ankara,Polatlı,2.850.000 TL
149700-10,25-10-2024,Daire,3 + 1,130 m2 / 110 m2,3. Kat,8 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,,İkinci El,Kiracılı,Kat İrtifakı,,,,,,98077,3,Evet,Ankara,Pursaklar,1.900.000 TL
140913-255,25-10-2024,Daire,3 + 1,135 m2 / 130 m2,3. Kat,5 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,,,Kiracılı,Kat Mülkiyeti,,Evet,"Kuzey, Güney, Doğu, Batı",,,,,,Ankara,Keçiören,3.500.000 TL
140913-254,25-10-2024,Daire,4 + 1,170 m2 / 160 m2,1. Kat,5 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,,,Mülk Sahibi,Kat Mülkiyeti,,Evet,"Güney, Doğu, Batı",,,,,,Ankara,Keçiören,3.650.000 TL
139790-92,23-10-2024,Daire,1 + 1,80 m2 / 70 m2,Giriş Katı,15 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,Kat İrtifakı,,Hayır,Güney,20.000 TL,Doğalgaz,,,Evet,Ankara,Çankaya,2.100.000 TL
114144-2176,26-10-2024,Daire,4 + 1,160 m2 / 140 m2,5. Kat,Sıfır Bina,Kombi,5 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Hayır,"Güney, Batı",,Doğalgaz,,,Evet,Ankara,Çankaya,10.450.000 TL
150882-3,26-10-2024,Daire,3 + 1,125 m2 / 118 m2,6. Kat,12 Yaşında,Merkezi (Pay Ölçer),11 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,870 TL,Hayır,Güney,,Doğalgaz,,,Evet,Ankara,Etimesgut,2.799.000 TL
124581-535,26-10-2024,Daire,3 + 1,174 m2 / 170 m2,2. Kat,Sıfır Bina,Kombi,10 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat İrtifakı,,Evet,"Kuzey, Güney, Doğu, Batı",35.000 TL,Doğalgaz,,,Evet,Ankara,Mamak,5.699.000 TL
62044-4568,28-10-2024,Daire,4 + 2,250 m2 / 230 m2,3. Kat,7 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,4,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Hayır,"Güney, Doğu, Batı",20.000 TL,Doğalgaz,,,Evet,Ankara,Altındağ,2.900.000 TL
25058-941,24-10-2024,Daire,3 + 1,140 m2 / 130 m2,3. Kat,30 Yaşında,Merkezi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,,Boş,Kat Mülkiyeti,1.250 TL,Hayır,"Güney, Doğu",30.000 TL,Doğalgaz,,,Evet,Ankara,Çankaya,4.750.000 TL
16866-6,14-10-2024,Daire,4 + 2,385 m2 / 375 m2,3. Kat,25 Yaşında,Merkezi,3 Katlı,Uygun,Eşyalı Değil,3,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,,Hayır,,,Doğalgaz,,,Evet,Ankara,Çankaya,24.500.000 TL
120352-566,28-10-2024,Daire,5 + 1,280 m2 / 250 m2,4. Kat,20 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,3,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,300 TL,Hayır,"Kuzey, Doğu, Batı",35.000 TL,Doğalgaz,,,Evet,Ankara,Çankaya,7.850.000 TL
50006-121,27-10-2024,Daire,3 + 1,145 m2 / 125 m2,4. Kat,26 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,,,Mülk Sahibi,Kat Mülkiyeti,500 TL,Evet,"Kuzey, Güney, Doğu, Batı",,,,,,Ankara,Gölbaşı,2.980.000 TL
3584-28242,28-10-2024,Daire,3 + 1,120 m2 / 110 m2,2. Kat,Sıfır Bina,Kombi,3 Katlı,Uygun,,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,,,,Doğalgaz,,,Evet,Ankara,Çankaya,8.400.000 TL
151723-19,28-10-2024,Daire,3 + 1,160 m2 / 150 m2,6. Kat,5 Yaşında,Merkezi (Pay Ölçer),13 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,,Evet,"Kuzey, Güney, Batı",32.000 TL,Doğalgaz,21345,2,Evet,Ankara,Altındağ,7.350.000 TL
137849-743,28-10-2024,Daire,4 + 1,165 m2 / 155 m2,Kot 2,15 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Evet,"Kuzey, Güney, Doğu, Batı",25.000 TL,Doğalgaz,,,Evet,Ankara,Keçiören,2.319.000 TL
62044-4570,28-10-2024,Daire,3 + 1,120 m2 / 105 m2,Yüksek Giriş,15 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Hayır,,12.000 TL,Doğalgaz,,,Evet,Ankara,Altındağ,1.850.000 TL
149809-4,28-10-2024,Daire,4 + 1,200 m2 / 185 m2,3. Kat,Sıfır Bina,Merkezi (Pay Ölçer),28 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,3.500 TL,Hayır,"Güney, Doğu, Batı",50.000 TL,Doğalgaz,,,Evet,Ankara,Keçiören,10.750.000 TL
149809-7,28-10-2024,Daire,4 + 1,200 m2 / 185 m2,6. Kat,Sıfır Bina,Merkezi (Pay Ölçer),28 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,3.500 TL,Hayır,"Güney, Doğu, Batı",50.000 TL,Doğalgaz,,,Evet,Ankara,Keçiören,11.500.000 TL
151659-149,25-10-2024,Daire,1 + 1,68 m2 / 58 m2,14. Kat,4 Yaşında,Merkezi (Pay Ölçer),16 Katlı,Uygun,Eşyalı,1,Betonarme,İkinci El,Kiracılı,Kat Mülkiyeti,2.100 TL,Hayır,"Güney, Doğu, Batı",20.000 TL,Elektrik,,,Evet,Ankara,Yenimahalle,3.850.000 TL
3584-28341,29-10-2024,Daire,1 + 1,50 m2 / 40 m2,1. Kat,1 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,,Kiracılı,Kat Mülkiyeti,,Hayır,,,Doğalgaz,,,Evet,Ankara,Çankaya,5.250.000 TL
3584-28282,29-10-2024,Daire,5 + 1,250 m2 / 200 m2,3. Kat,3 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,4,Betonarme,Sıfır,Boş,Kat İrtifakı,,Hayır,,70.000 TL,Doğalgaz,,,Evet,Ankara,Çankaya,12.800.000 TL
6462-1791,29-10-2024,Villa,4 + 1,332 m2 / 300 m2,,1 Yaşında,Kombi,2 Katlı,Uygun,Eşyalı Değil,4,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Evet,"Kuzey, Güney, Doğu, Batı",,Doğalgaz,,,Evet,Ankara,Gölbaşı,24.000.000 TL
145771-99,30-10-2024,Daire,3 + 1,143 m2 / 130 m2,1. Kat,1 Yaşında,Yerden Isıtma,13 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,Kat Mülkiyeti,950 TL,Hayır,"Kuzey, Batı",22.000 TL,Doğalgaz,,,Evet,Ankara,Etimesgut,4.300.000 TL
11065-2020,28-09-2024,Daire,3 + 1,145 m2 / 126 m2,2. Kat,36 Yaşında,Merkezi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,Kat Mülkiyeti,3.000 TL,Hayır,"Güney, Batı",13.750 TL,Doğalgaz,,,Evet,Ankara,Çankaya,4.400.000 TL
120088-758,30-10-2024,Daire,1 + 1,55 m2 / 50 m2,2. Kat,Sıfır Bina,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,,,Boş,Kat İrtifakı,,Hayır,"Güney, Doğu",,,,,,Ankara,Çankaya,5.600.000 TL
22003-2083,30-10-2024,Daire,3 + 1,110 m2 / 100 m2,Ara Kat,5 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,100 TL,Hayır,"Güney, Batı",30.000 TL,,,,Evet,Ankara,Çankaya,6.750.000 TL
0-43624101,30-10-2024,Daire,3 + 1,110 m2 / 100 m2,1. Kat,21 Yaşında,Kat Kaloriferi,3 Katlı,Uygun değil,Eşyalı Değil,1,Taş Bina,İkinci El,Kiracılı,Kat Mülkiyeti,100 TL,Hayır,Güney,,Doğalgaz,5673,13,,Ankara,Keçiören,3.250.000 TL
94433-1201,30-10-2024,Daire,3 + 1,115 m2 / 105 m2,Ara Kat,24 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,Kat Mülkiyeti,150 TL,Hayır,"Güney, Batı",20.000 TL,Doğalgaz,,,Evet,Ankara,Çankaya,2.850.000 TL
150695-61,30-10-2024,Daire,3 + 1,120 m2 / 105 m2,Yüksek Giriş,25 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Mülk Sahibi,Kat Mülkiyeti,100 TL,Evet,"Kuzey, Doğu",22.000 TL,Doğalgaz,,,Evet,Ankara,Keçiören,2.349.999 TL
110538-3415,30-10-2024,Villa,6 + 1,320 m2 / 300 m2,,20 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,3,,İkinci El,Mülk Sahibi,,600 TL,,"Kuzey, Doğu, Batı",,,,,Evet,Ankara,Etimesgut,8.450.000 TL
130404-1262,30-10-2024,Daire,3 + 1,140 m2 / 130 m2,Giriş Katı,5 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,50 TL,Evet,"Kuzey, Güney, Doğu, Batı",20.000 TL,Doğalgaz,5,4,Evet,Ankara,Keçiören,1.790.000 TL
136243-264,30-10-2024,Villa,6 + 1,200 m2 / 180 m2,Bahçe Katı,16 Yaşında,Kombi,3 Katlı,Uygun değil,Eşyalı Değil,1,,,Kiracılı,,,Evet,,,,,,,Ankara,Yenimahalle,12.500.000 TL
136243-263,30-10-2024,Daire,3 + 1,130 m2 / 120 m2,1. Kat,21 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,,,Boş,Kat Mülkiyeti,,Hayır,"Kuzey, Güney, Doğu",,,,,,Ankara,Sincan,2.589.000 TL
144991-151,30-10-2024,Daire,2 + 1,115 m2 / 105 m2,Kot 1,12 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı,1,Betonarme,,Kiracılı,Kat Mülkiyeti,,Hayır,Güney,,Doğalgaz,,,Evet,Ankara,Etimesgut,1.998.000 TL
139814-619,30-10-2024,Daire,3 + 1,125 m2 / 115 m2,1. Kat,30 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,,İkinci El,,Kat Mülkiyeti,100 TL,,"Güney, Doğu",17.000 TL,Doğalgaz,,,Evet,Ankara,Keçiören,2.490.000 TL
97895-1837,30-10-2024,Daire,2 + 1,85 m2 / 76 m2,Kot 1,11 Yaşında,Merkezi (Pay Ölçer),11 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,700 TL,Hayır,"Güney, Batı",10.000 TL,Doğalgaz,,,Evet,Ankara,Etimesgut,1.670.000 TL
37380-4382,30-10-2024,Daire,2 + 1,110 m2 / 90 m2,2. Kat,46 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,,İkinci El,Kiracılı,Kat Mülkiyeti,300 TL,,"Güney, Doğu",,,,,Evet,Ankara,Çankaya,4.500.000 TL
141761-909,30-10-2024,Daire,4 + 1,196 m2 / 171 m2,21 ve üzeri,4 Yaşında,Merkezi (Pay Ölçer),26 Katlı,Uygun,Eşyalı Değil,2,,İkinci El,Mülk Sahibi,Kat Mülkiyeti,,,"Kuzey, Batı",,,63933,3,Evet,Ankara,Etimesgut,12.000.000 TL
133274-313,30-10-2024,Daire,2 + 1,85 m2 / 76 m2,Ara Kat,11 Yaşında,Merkezi (Pay Ölçer),13 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,750 TL,Hayır,"Güney, Batı",,Doğalgaz,,,Evet,Ankara,Etimesgut,2.099.000 TL
131496-564,30-10-2024,Daire,4 + 1,200 m2 / 185 m2,12. Kat,2 Yaşında,Kombi,16 Katlı,Uygun,Eşyalı Değil,2,,,Boş,Kat Mülkiyeti,,Evet,"Güney, Doğu, Batı",,,,,,Ankara,Pursaklar,6.500.000 TL
67045-261,30-10-2024,Daire,3 + 1,145 m2 / 130 m2,Yüksek Giriş,10 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Hayır,"Güney, Doğu, Batı",,Doğalgaz,,,Evet,Ankara,Etimesgut,3.390.000 TL
21000-683,30-10-2024,Daire,3 + 1,135 m2 / 125 m2,3. Kat,30 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,100 TL,Hayır,"Kuzey, Batı",,Doğalgaz,,,Evet,Ankara,Çankaya,4.850.000 TL
73018-8550,30-10-2024,Daire,4 + 1,180 m2 / 175 m2,6. Kat,4 Yaşında,Kombi,13 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Kiracılı,Kat Mülkiyeti,,Hayır,"Güney, Doğu",,Doğalgaz,,,,Ankara,Pursaklar,4.950.000 TL
131171-219,30-10-2024,Villa,6 + 1,1.250 m2 / 1.140 m2,,10 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı,2,Taş Bina,İkinci El,Mülk Sahibi,Kat Mülkiyeti,,Evet,"Kuzey, Güney, Doğu, Batı",,Doğalgaz,,,Evet,Ankara,Polatlı,6.850.000 TL
151565-24,30-10-2024,Daire,3 + 1,145 m2 / 135 m2,5. Kat,Sıfır Bina,Kombi,9 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,250 TL,Hayır,"Güney, Batı",30.000 TL,Doğalgaz,,,Evet,Ankara,Mamak,4.950.000 TL
132205-1451,30-10-2024,Daire,2 + 1,110 m2 / 100 m2,Bahçe Katı,8 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat İrtifakı,,Hayır,Güney,,Doğalgaz,,,Evet,Ankara,Altındağ,1.540.000 TL
62202-64,30-10-2024,Daire,4 + 1,150 m2 / 140 m2,3. Kat,1 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,Kat Mülkiyeti,250 TL,Hayır,"Kuzey, Güney, Doğu, Batı",35.000 TL,Doğalgaz,,,Evet,Ankara,Gölbaşı,5.100.000 TL
66838-967,30-10-2024,Daire,2 + 1,90 m2 / 80 m2,Bahçe Katı,35 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,50 TL,Hayır,"Doğu, Batı",12.000 TL,Doğalgaz,,,Evet,Ankara,Keçiören,1.449.000 TL
109341-2913,30-10-2024,Daire,3 + 1,110 m2 / 105 m2,Yüksek Giriş,17 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat İrtifakı,,Hayır,"Güney, Batı",,Doğalgaz,,,,Ankara,Etimesgut,1.625.000 TL
104874-117,30-10-2024,Daire,1 + 1,125 m2 / 120 m2,3. Kat,20 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Hayır,"Kuzey, Doğu",18.000 TL,Doğalgaz,,,Evet,Ankara,Keçiören,2.750.000 TL
88880-997,30-10-2024,Daire,3 + 1,135 m2 / 115 m2,1. Kat,20 Yaşında,Kombi,6 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,200 TL,Hayır,"Güney, Batı",18.000 TL,Doğalgaz,,,,Ankara,Mamak,2.340.000 TL
138430-157,30-10-2024,Daire,5 + 1,220 m2 / 180 m2,En Üst Kat,25 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,,Hayır,"Doğu, Batı",,Doğalgaz,,,Evet,Ankara,Keçiören,5.150.000 TL
151723-38,30-10-2024,Daire,3 + 1,140 m2 / 128 m2,Yüksek Giriş,15 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Hayır,"Kuzey, Batı",15.000 TL,Doğalgaz,185,19,Evet,Ankara,Altındağ,2.650.000 TL
127957-239,30-10-2024,Daire,3 + 1,115 m2 / 100 m2,1. Kat,25 Yaşında,Kombi,4 Katlı,Uygun,,2,Betonarme,İkinci El,,Kat Mülkiyeti,500 TL,Hayır,Doğu,18.000 TL,Doğalgaz,,,Evet,Ankara,Etimesgut,2.850.000 TL
41553-7555,30-10-2024,Daire,3 + 1,120 m2 / 110 m2,Yüksek Giriş,25 Yaşında,Merkezi,10 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,1.500 TL,Hayır,,,Doğalgaz,,,Evet,Ankara,Çankaya,3.650.000 TL
142113-198,30-10-2024,Daire,3 + 1,120 m2 / 110 m2,3. Kat,20 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Taş Bina,İkinci El,Boş,Kat Mülkiyeti,200 TL,Hayır,"Güney, Doğu",15.000 TL,Doğalgaz,3,1,Evet,Ankara,Keçiören,2.490.000 TL
108601-170,30-10-2024,Daire,3 + 1,145 m2 / 125 m2,3. Kat,10 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,150 TL,Evet,"Kuzey, Batı",18.000 TL,Doğalgaz,12345,2,Evet,Ankara,Altındağ,3.450.000 TL
61688-4615,30-10-2024,Daire,3 + 1,125 m2 / 120 m2,5. Kat,30 Yaşında,Kombi,6 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,150 TL,Evet,"Güney, Doğu",25.000 TL,Doğalgaz,,,Evet,Ankara,Yenimahalle,3.600.000 TL
